Filename,Species,Subspecies,Breed,Animal ID,Haplotype,Special interest,Global region,Sample origin,Contributor location,Reference annotation,Species representative,Subspecies representative,Breed representative,Freeze,Graphs,Responsible contact,Public download
ND03_trim.asm.bp.hap2.p_ctg,Bos taurus,Taurine,Ndama,7CB0839D,2,,Guinea,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
ZB13_trim.asm.bp.hap1.p_ctg,Bos taurus,Sanga,Barotse,84E1FD83,1,,Zambia,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
ND03_trim.asm.bp.hap1.p_ctg,Bos taurus,Taurine,Ndama,7CB0839D,1,,Guinea,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
ZA12_trim.asm.bp.hap2.p_ctg,Bos taurus,Indicine,Angoni,6400A9B3,1,,Malawi,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
Nelore2_hifiasm.bp.hap1.p_ctg,Bos taurus,Indicine,Nelore,F94DFE47,1,,India,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
Nelore2_hifiasm.bp.hap2.p_ctg,Bos taurus,Indicine,Nelore,F94DFE47,2,,India,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
UG869b_trim.asm.bp.hap2.p_ctg,Bos taurus,Sanga,Ankole,7B027E73,2,,Uganda,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
Nelore1_hifiasm.bp.hap1.p_ctg,Bos taurus,Indicine,Nelore,AEA1563E,1,,India,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
ND01_trim.asm.bp.hap1.p_ctg,Bos taurus,Taurine,Ndama,89AA4DF3,1,,Guinea,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
UG869b_trim.asm.bp.hap1.p_ctg,Bos taurus,Indicine,Ankole,7B027E73,1,,Uganda,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
ZA01_E_trim.asm.bp.hap1.p_ctg,Bos taurus,Indicine,Angoni,E1432672,1,,Malawi,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
Nelore1_hifiasm.bp.hap2.p_ctg,Bos taurus,Indicine,Nelore,AEA1563E,2,,India,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
ZA01_E_trim.asm.bp.hap2.p_ctg,Bos taurus,Indicine,Angoni,E1432672,2,,Malawi,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
ND01_trim.asm.bp.hap2.p_ctg,Bos taurus,Taurine,Ndama,89AA4DF3,2,,Guinea,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
Finnish_Ayrshire_1236_hap1,Bos taurus,Taurine,Finnish Ayrshire,CFFAA163,1,,Finland,,Denmark,,,,Y,1,,zexi.cai@qgg.au.dk,
Finnish_Ayrshire_1236_hap2,Bos taurus,Taurine,Finnish Ayrshire,CFFAA163,2,,Finland,,Denmark,,,,N,1,,zexi.cai@qgg.au.dk,
Dabieshan,Bos taurus,Taurine,Dabieshan,209567B5,0,,China,,China,,,,N,1,,jiangyu96@163.com,
Guanling,Bos taurus,Taurine,Guanling,8BE69039,0,,China,,China,,,,Y,1,,jiangyu96@163.com,
Jinjiang,Bos taurus,Taurine,Jinjiang,BDA5C503,0,,China,,China,,,,Y,1,,jiangyu96@163.com,
Leiqiong,Bos taurus,Taurine,Leiqiong,D4B01A6D,0,,China,,China,,,,N,1,,jiangyu96@163.com,
Yiling,Bos taurus,Taurine,Yiling,7709B8FE,0,,China,,China,,,,Y,1,,jiangyu96@163.com,
Weizhou,Bos taurus,Taurine,Weizhou,F65D06F1,0,,China,,China,,,,Y,1,,jiangyu96@163.com,
Wenshangaofeng,Bos taurus,Taurine,Wenshangaofeng,36B999D4,0,,China,,China,,,,Y,1,,jiangyu96@163.com,
Lincanggaofeng,Bos taurus,Taurine,Lincanggaofeng,470D9D81,0,,China,,China,,,,Y,1,,jiangyu96@163.com,
Xiangxi,Bos taurus,Taurine,Xiangxi,C7BF8E85,0,,China,,China,,,,Y,1,,jiangyu96@163.com,
Weining,Bos taurus,Taurine,Weining,051E5476,0,,China,,China,,,,Y,1,,jiangyu96@163.com,
Dabieshan_genome,Bos taurus,Taurine,Dabieshan,887B4205,0,,China,,China,,,,Y,1,,chenyan@caas.cn,
Liangshan_genome,Bos taurus,Taurine,Liangshan,93690B11,0,,China,,China,,,,Y,1,,chenyan@caas.cn,
Xizang_genome,Bos taurus,Taurine,Xizang,C91F9D9A,0,,China,,China,,,,Y,1,,chenyan@caas.cn,
Yaklander_paternal,Bos taurus,Taurine,Highland,225D9F97,0,,United Kingdom,,,,,,Y,1,,public,GCA_009493655.1
Yaklander_maternal,Bos grunniens,Domestic yak,Domestic yak,225D9F97,0,,China,,,,Y,Y,Y,1,,public,GCA_009493645.1
Hanwoo,Bos taurus,Taurine,Hanwoo,626032FF,0,,South Korea,,,,,,Y,1,,public,GCA_028973685.2
Jersey,Bos taurus,Taurine,Jersey,DCE7CAE6,0,,Jersey,,,,,,N,1,,public,GCA_021234555.1
Banteng,Bos javanicus,Banteng,Banteng,B9916A3E,0,,Indonesia,,,,Y,Y,Y,1,,public,GCA_032452875.1
BxP_Pied.verkko.mat,Bos taurus,Taurine,Piedmontese,81F81309,0,,Italy,,United States,,,,N,1,,ben.rosen@usda.gov,
BxS_Simmental.verkko.mat,Bos taurus,Taurine,Simmental,49CF3BDD,2,,Switzerland,,United States,,,,Y,1,,ben.rosen@usda.gov,
GxP_gaur_sire_haplotype2,Bos gaurus,Gaur,Gaur,A8E9949B,1,,India,,United States,,Y,Y,Y,1,,ben.rosen@usda.gov,
GxP_pied_dam_cattle_haplotype1,Bos taurus,Taurine,Piedmontese,A8E9949B,2,,Italy,,United States,,Y,Y,Y,1,,ben.rosen@usda.gov,
Wagyu.haplotype2.chrNames.20231003,Bos taurus,Taurine,Wagyu,0E8621A1,1,,Japan,,United States,,,,N,1,,ben.rosen@usda.gov,
Charolais.haplotype1.chrNames.20231003,Bos taurus,Taurine,Charolais,0E8621A1,0,,France,,United States,,,,Y,1,,ben.rosen@usda.gov,
GWHBISA00000000.genome,Bos taurus,Taurine,Holstein-Friesian,85E13BAC,0,,Netherlands,,,,,,N,1,,public,https://download.cncb.ac.cn/gwh/Animals/Bos_taurus_NCBA1.0_GWHBISA00000000/GWHBISA00000000.genome.fasta.gz
Yunling,Bos taurus,Taurine,Yunling,AA9C20DC,0,,China,,,,,,Y,1,,public,GCA_034097375.1
Tibetan_Final,Bos taurus,Taurine,Tibetan,7970EEFD,0,,China,,China,,,,Y,1,,ningbochen@nwafu.edu.cn,
HN024,Bos taurus,Taurine,Leiqiong,2ABD77E4,0,,China,,China,,,,Y,1,,ningbochen@nwafu.edu.cn,
NMG016,Bos taurus,Taurine,Mongolian,D94D6173,0,,Mongolia,,China,,,,Y,1,,ningbochen@nwafu.edu.cn,
IISER_Bind_1.0b,Bos taurus,Indicine,Vechur,F182DFDE,0,,India,,,,,,Y,1,,public,GCA_033030755.1
ARS-LIC_NZ_Holstein-Friesian_1,Bos taurus,Taurine,Holstein-Friesian,B27CA911,0,,Netherlands,,,,,,N,1,,public,GCA_021347905.1
ER784.asm.scaffolds,Bos taurus,Taurine,Evolener,0CCCFB6C,0,,Switzerland,,Switzerland,,,,N,1,,cord.droegemueller@unibe.ch,
RM2849.asm.scaffolds,Bos taurus,Taurine,Original Braunvieh,C31A572E,0,,Switzerland,,Switzerland,,,,N,1,,cord.droegemueller@unibe.ch,
RM2851.asm.scaffolds,Bos taurus,Taurine,Simmental,BCBE855D,0,,Switzerland,,Switzerland,,,,N,1,,cord.droegemueller@unibe.ch,
RM2852.asm.scaffolds,Bos taurus,Taurine,Holstein-Friesian,8C506E49,0,,Netherlands,,Switzerland,,,,N,1,,cord.droegemueller@unibe.ch,
RM2853.asm.scaffolds,Bos taurus,Taurine,Hereford,8F35AFFE,0,,United Kingdom,,Switzerland,,,,N,1,,cord.droegemueller@unibe.ch,
Criollo_flye,Bos taurus,Taurine,Argentinean Creole,D0CB5057,0,,Argentina,,Argentina,,,,Y,1,,amadio.ariel@inta.gob.ar,
Jersey_441.bp.p_ctg,Bos taurus,Taurine,Jersey,A5D4F251,0,,Jersey,,United States,,,,N,1,,george.liu@usda.gov,
Jersey_454.bp.p_ctg,Bos taurus,Taurine,Jersey,008BCCC9,0,,Jersey,,United States,,,,N,1,,george.liu@usda.gov,
Jersey_456.bp.p_ctg,Bos taurus,Taurine,Jersey,0EF603D6,0,,Jersey,,United States,,,,N,1,,george.liu@usda.gov,
Jersey_467.bp.p_ctg,Bos taurus,Taurine,Jersey,477590BE,0,,Jersey,,United States,,,,Y,1,,george.liu@usda.gov,
Jersey_471.bp.p_ctg,Bos taurus,Taurine,Jersey,A52A8D6B,0,,Jersey,,United States,,,,N,1,,george.liu@usda.gov,
Jersey_477.bp.p_ctg,Bos taurus,Taurine,Jersey,933E6DF9,0,,Jersey,,United States,,,,N,1,,george.liu@usda.gov,
Jersey_481.bp.p_ctg,Bos taurus,Taurine,Jersey,6E0CF522,0,,Jersey,,United States,,,,N,1,,george.liu@usda.gov,
Jersey_486.bp.p_ctg,Bos taurus,Taurine,Jersey,4C15A806,0,,Jersey,,United States,,,,N,1,,george.liu@usda.gov,
sample_4232.bp.p_ctg,Bos taurus,Taurine,Holstein-Friesian,801FCC55,0,,Netherlands,,United States,,,,N,1,,george.liu@usda.gov,
sample_4245.bp.p_ctg,Bos taurus,Taurine,Holstein-Friesian,BD689F59,0,,Netherlands,,United States,,,,N,1,,george.liu@usda.gov,
sample_4294.bp.p_ctg,Bos taurus,Taurine,Holstein-Friesian,FA514E0C,0,,Netherlands,,United States,,,,N,1,,george.liu@usda.gov,
sample_4298.bp.p_ctg,Bos taurus,Taurine,Holstein-Friesian,8EEDB5B0,0,,Netherlands,,United States,,,,Y,1,,george.liu@usda.gov,
sample_4420.bp.p_ctg,Bos taurus,Taurine,Holstein-Friesian,85A60D3D,0,,Netherlands,,United States,,,,N,1,,george.liu@usda.gov,
sample_4443.bp.p_ctg,Bos taurus,Taurine,Holstein-Friesian,B0108647,0,,Netherlands,,United States,,,,N,1,,george.liu@usda.gov,
sample_4450.bp.p_ctg,Bos taurus,Taurine,Holstein-Friesian,A38A2D3D,0,,Netherlands,,United States,,,,N,1,,george.liu@usda.gov,
sample_4494.bp.p_ctg,Bos taurus,Taurine,Holstein-Friesian,2B9FF31B,0,,Netherlands,,United States,,,,N,1,,george.liu@usda.gov,
sample_4611.bp.p_ctg,Bos taurus,Taurine,Holstein-Friesian,F40F9AAA,0,,Netherlands,,United States,,,,N,1,,george.liu@usda.gov,
sample_4681.bp.p_ctg,Bos taurus,Taurine,Holstein-Friesian,A8CCD789,0,,Netherlands,,United States,,,,N,1,,george.liu@usda.gov,
sample_4801.bp.p_ctg,Bos taurus,Taurine,Holstein-Friesian,448CE7F0,0,,Netherlands,,United States,,,,N,1,,george.liu@usda.gov,
sample_4816.bp.p_ctg,Bos taurus,Taurine,Holstein-Friesian,9F368E8B,0,,Netherlands,,United States,,,,N,1,,george.liu@usda.gov,
sample_4828.bp.p_ctg,Bos taurus,Taurine,Holstein-Friesian,1ADE766F,0,,Netherlands,,United States,,,,N,1,,george.liu@usda.gov,
sample_4837.bp.p_ctg,Bos taurus,Taurine,Holstein-Friesian,560D5A0F,0,,Netherlands,,United States,,,,N,1,,george.liu@usda.gov,
sample_4852.bp.p_ctg,Bos taurus,Taurine,Holstein-Friesian,E73FFB23,0,,Netherlands,,United States,,,,N,1,,george.liu@usda.gov,
sample_4873.bp.p_ctg,Bos taurus,Taurine,Holstein-Friesian,A1953FB8,0,,Netherlands,,United States,,,,N,1,,george.liu@usda.gov,
sample_4879.bp.p_ctg,Bos taurus,Taurine,Holstein-Friesian,B6B47D1C,0,,Netherlands,,United States,,,,N,1,,george.liu@usda.gov,
sample_4889.bp.p_ctg,Bos taurus,Taurine,Holstein-Friesian,03D96A67,0,,Netherlands,,United States,,,,N,1,,george.liu@usda.gov,
sample_4890.bp.p_ctg,Bos taurus,Taurine,Holstein-Friesian,C1802AA4,0,,Netherlands,,United States,,,,N,1,,george.liu@usda.gov,
sample_4896.bp.p_ctg,Bos taurus,Taurine,Holstein-Friesian,4D2425D2,0,,Netherlands,,United States,,,,N,1,,george.liu@usda.gov,
Bos_taurus_Benin_Lagune,Bos taurus,Taurine,Lagune,CECBECD9,0,,Benin,,United Kingdom,,,,Y,1,,Isidore.Houaga@roslin.ed.ac.uk,
Bos_indicus_Benin_Gudali,Bos taurus,Indicine,Gudali,503A7046,0,,Benin,,United Kingdom,,,,Y,1,,Isidore.Houaga@roslin.ed.ac.uk,
Bos_indicus_X_Bos_taurus_Tanzania_Mpwapwa,Bos taurus,Indicine,Mpwapwa,B06E0A14,0,,Tanzania,,United Kingdom,,,,Y,1,,Isidore.Houaga@roslin.ed.ac.uk,
Bos_indicus_Tanzania_Singida_White,Bos taurus,Indicine,Singidi White,64614C04,0,,Tanzania,,United Kingdom,,,Y,Y,1,,Isidore.Houaga@roslin.ed.ac.uk,
Bos_indicus_Tanzania_Iringa_Red,Bos taurus,Indicine,Iringa Red,55CDD5E4,0,,Tanzania,,United Kingdom,,,,Y,1,,Isidore.Houaga@roslin.ed.ac.uk,
ND231_hifiasm.bp.p_ctg,Bos taurus,Taurine,Ndama,81265414,0,,Guinea,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
ZA02_E_trim.asm.bp.p_ctg,Bos taurus,Indicine,Angoni,2B753575,0,,Malawi,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
HF3457_hifiasm.bp.p_ctg,Bos taurus,Taurine,Holstein-Friesian,8357E2A7,0,,Netherlands,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
HF3458_hifiasm.bp.p_ctg,Bos taurus,Taurine,Holstein-Friesian,BB52CE76,0,,Netherlands,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
ZB02_E_trim.asm.bp.p_ctg,Bos taurus,Sanga,Barotse,D8C98806,0,,Zambia,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
HF3471_hifiasm.bp.p_ctg,Bos taurus,Taurine,Holstein-Friesian,13C0B63E,0,,Netherlands,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
Nelore3_hifiasm.bp.p_ctg,Bos taurus,Indicine,Nelore,F65D3938,0,,India,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
ND230_hifiasm.bp.p_ctg,Bos taurus,Taurine,Ndama,35A17A9E,0,,Guinea,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
ZB03_E_trim.asm.bp.p_ctg,Bos taurus,Sanga,Barotse,5F5D662F,0,,Zambia,,United Kingdom,,,,N,1,,James.Prendergast@ed.ac.uk,
Holstein.cattle.ONT,Bos taurus,Taurine,Holstein-Friesian,C4ED2E87,0,,Netherlands,,United States,,,,N,1,,ben.rosen@usda.gov,
Pirenaica.scaf.hap2,Bos taurus,Taurine,Pirenaica,AE49F777,2,,Spain,,United States,,,,N,1,,ben.rosen@usda.gov,
RGxRW_RubiaGallega_assembly.haplotype2_sire,Bos taurus,Taurine,Rubia Gallega,D1CFAD2B,2,,Spain,,United States,,,,Y,1,,ben.rosen@usda.gov,
Unselected_Holstein_assembly.haplotype2_sire,Bos taurus,Taurine,Holstein-Friesian,407BC304,2,Isolated herd,Netherlands,,United States,,,,N,1,,ben.rosen@usda.gov,
Ayrshire_assembly.haplotype2_HiC_Y,Bos taurus,Taurine,Ayrshire,7530CF96,2,,United Kingdom,,United States,,,,N,1,,ben.rosen@usda.gov,
Gyr_assembly.haplotype1_dam,Bos taurus,Indicine,Gyr,6A351E5B,1,,India,,United States,,,,Y,1,,ben.rosen@usda.gov,
Terrena.scaf.hap2,Bos taurus,Taurine,Terreña,892138FD,2,,Spain,,United States,,,,N,1,,ben.rosen@usda.gov,
Pirenaica.scaf.hap1,Bos taurus,Taurine,Pirenaica,AE49F777,1,,Spain,,United States,,,,N,1,,ben.rosen@usda.gov,
Unselected_Holstein_assembly.haplotype1_dam,Bos taurus,Taurine,Holstein-Friesian,407BC304,1,Isolated herd,Netherlands,,United States,,,,N,1,,ben.rosen@usda.gov,
Gyr_assembly.haplotype2_sire,Bos taurus,Indicine,Gyr,6A351E5B,2,,India,,United States,,,,N,1,,ben.rosen@usda.gov,
RGxRW_RedWagyu_assembly.haplotype1_dam,Bos taurus,Taurine,Red Wagyu,D1CFAD2B,1,,Japan,,United States,,,,Y,1,,ben.rosen@usda.gov,
Terrena.scaf.hap1,Bos taurus,Taurine,Terreña,892138FD,1,,Spain,,United States,,,,Y,1,,ben.rosen@usda.gov,
Betizu.scaf.hap1,Bos taurus,Taurine,Betizu,389334F3,1,Semi-feral,Spain,,United States,,,,N,1,,ben.rosen@usda.gov,
GCA_033032115.1_SNNPC3_IISER1.0_Sunandini_genomic,Bos taurus,Taurine,Sunandini,B31F8FB3,0,,India,,,,,,Y,1,,public,GCA_033032115.1
Bison_x_Angus_Angus_hap_alt_from_GCA_030254855.1,Bos taurus,Taurine,Angus,B7C6E035,1,,United Kingdom,,United States,,,,Y,1,,ben.rosen@usda.gov,
Ayrshire_assembly.haplotype1_HiC_X,Bos taurus,Taurine,Ayrshire,7530CF96,1,,United Kingdom,,United States,,,,Y,1,,ben.rosen@usda.gov,
Betizu.scaf.hap2,Bos taurus,Taurine,Betizu,389334F3,2,Semi-feral,Spain,,United States,,,,Y,1,,ben.rosen@usda.gov,
chianina.flye,Bos taurus,Taurine,Chianina,B7C6E035,0,,Italy,,United States,,,,Y,1,,ben.rosen@usda.gov,
CxR_raft_trioUL.dip.charolais-sire.p_ctg,Bos taurus,Taurine,Charolais,D0A2C50A,1,,France,,United States,,,,N,1,,ben.rosen@usda.gov,
CxR_raft_trioUL.dip.retinta-dam.p_ctg,Bos taurus,Taurine,Retinta,D0A2C50A,2,,Spain,,United States,,,,Y,1,,ben.rosen@usda.gov,
WelshBlack_raft_hicUL.hic.hap1-X.p_ctg,Bos taurus,Taurine,Welsh Black,6924862B,1,,Wales,,United States,,,,N,1,,ben.rosen@usda.gov,
sarda.flye,Bos taurus,Taurine,Sarda,86DECAAC,0,Island,Italy,,United States,,,,Y,1,,ben.rosen@usda.gov,
WelshBlack_raft_hicUL.hic.hap2-Y.p_ctg,Bos taurus,Taurine,Welsh Black,6924862B,2,,Wales,,United States,,,,Y,1,,ben.rosen@usda.gov,
NRF,Bos taurus,Taurine,Norwegian Red,75BF62C7,0,,Norway,,,,,,Y,1,,public,GCA_963921495.1
ARS-UCD1.3,Bos taurus,Taurine,Hereford,85D7A68E,0,,America,,,Y,,,Y,1,,public,GCA_002263795.3
TAMU_Bison_Bison_3.0,Bison bison,American Bison,American Bison,B7C6E035,2,,America,,,,,,N,1,,public,GCA_030254855.1
BxS_Bison.verkko.patY,Bison bison,American Bison,American Bison,49CF3BDD,1,,America,,United States,,Y,Y,Y,1,,ben.rosen@usda.gov,
Muturu,Bos taurus,Taurine,Muturu,105CB066,0,,Nigeria,,Ethiopia,,,,Y,1,,N.Ayele@cgiar.org,
Kuri,Bos taurus,Taurine,Kuri,07F32976,0,,Chad,,Ethiopia,,,,Y,1,,N.Ayele@cgiar.org,
YUN_Gayal_1,Bos frontalis,Gayal,Chinese gayal,DC50EC11,0,,China,,,,Y,,,1.5,,public,GCA_043643345.1
ASM4388211v1,Bos taurus,Taurine,Mongolian,A4E743AE,0,,Mongolia,,,,,,,1.5,,public,GCA_043882115.1
NWIPB_WYAK_1.1,Bos mutus,Wild yak,Wild Yak,E9520DBA,1,,China,,,,,,,1.5,,public,GCA_027580195.2
NWIPB_DYAK_1.0,Bos grunniens,Domestic yak,Domestic yak,E9520DBA,2,,China,,,,,,,1.5,,public,GCA_027580245.1
AZ0004_trim.asm.bp.p_ctg,Bubalus bubalis,River,Azikheli,B008770D,0,,Pakistan,,Australia,,,,,1.5,,wai.low@adelaide.edu.au,
NR0003_trim.asm.bp.p_ctg,Bubalus bubalis,River,Nili Ravi,ADFE7691,0,,Pakistan,,Australia,,,,,1.5,,wai.low@adelaide.edu.au,
